fighter_id,name,birthdate,aka,associations,class_weight,wins,losses,draws,wins_by_ko_tko,wins_by_submission,wins_by_decision,wins_by_other,losses_by_ko_tko,losses_by_submission,losses_by_decision,losses_by_other,country,city,weight (lbs),sex,height,height (cm)
2611107041b2460ba64bfca845c652a9,Rashad Evans,1979-09-25,Suga,['Kill Cliff FC'],Light Heavyweight,20.0,8.0,0.0,8.0,1.0,11.0,0.0,3.0,0.0,5.0,0.0,United States,"Niagara Falls, New York",205.0,M,5.11,155.75
34c5aaeff5f34495b2404932f8eed63f,Michael Bisping,1979-02-28,The Count,['HB Ultimate'],Middleweight,30.0,9.0,0.0,18.0,2.0,10.0,0.0,3.0,2.0,4.0,0.0,England,Manchester,185.0,M,6.2,188.98
116accf291cd4a1f8361e947b5d58eb1,Thiago Silva,1982-11-12,,['Kill Cliff FC'],Heavyweight,21.0,9.0,3.0,15.0,1.0,5.0,0.0,4.0,1.0,4.0,0.0,Brazil,"Sao Carlos, Sao Paulo",223.0,M,6.1,185.93
43c6081532c947b49b9ed489251ce574,Houston Alexander,1972-03-22,The Assassin,"['Grudge Training Center', 'HIT Squad']",Light Heavyweight,17.0,16.0,2.0,14.0,0.0,3.0,0.0,10.0,2.0,4.0,0.0,United States,"Omaha, Nebraska",203.0,M,6.0,182.88
863fc5ec5a92431dbd60b5eb7d0386a2,Karo Parisyan,1982-08-28,The Heat,[],Welterweight,24.0,12.0,1.0,3.0,11.0,10.0,0.0,7.0,1.0,4.0,0.0,United States,"North Hollywood, California",169.0,M,5.1,155.45
323033844255401f95f56f6dc3d8afdd,Ryo Chonan,1976-10-08,Piranha,['Tribe Tokyo MMA'],Welterweight,22.0,13.0,0.0,8.0,1.0,13.0,0.0,4.0,1.0,8.0,0.0,Japan,"Tsuruoka, Yamagata",169.0,M,5.9,179.83
44de5dbf1e374fa598adba5ad78d985b,Ed Herman,1980-10-02,Short Fuse,['American Top Team Portland'],Light Heavyweight,26.0,16.0,1.0,7.0,14.0,5.0,0.0,4.0,6.0,6.0,0.0,United States,"Portland, Oregon",205.0,M,6.2,188.98
63f6ceb084b747b5aaa7ce33f3a4c282,Joe Doerksen,1977-10-09,El Dirte,['Canadian Fighting Centre'],Middleweight,51.0,16.0,0.0,10.0,33.0,8.0,0.0,7.0,4.0,5.0,0.0,Canada,"Winnipeg, Manitoba",186.0,M,6.0,182.88
d05701c5fdb7491da7503d1ea0f789b5,Frankie Edgar,1981-10-16,The Answer,['Ricardo Almeida Jiu-Jitsu'],Bantamweight,24.0,11.0,0.0,7.0,4.0,13.0,0.0,5.0,0.0,6.0,0.0,United States,"Toms River, New Jersey",136.0,M,5.6,170.69
8f958a720425448da169c0f2944532c7,Spencer Fisher,1976-05-09,The King,[],Lightweight,24.0,9.0,0.0,10.0,9.0,5.0,0.0,3.0,0.0,6.0,0.0,United States,"Davenport, Iowa",155.0,M,5.7,173.74
