referee_id,name,birthdate,aka,n_fights,ko_tko,submission,decision,draws,no_contests,disqualifications,country,city
2d2e00ec72ae42018515da5873e68525,Dan Miragliotta,,,874,326,173,360,5,7,3,,
81abcb5d5ff644939ff851614de66adb,John McCarthy,1962-10-12,Big,984,347,285,327,9,15,1,United States,"Los Angeles, California"
1c632fc1f8294fe2889f089b9bca7b0d,Steve Mazzagatti,,,474,150,138,179,2,3,2,,
82a90d8d02eb403cba2efc7f1cc93b83,Herb Dean,1970-09-30,,1963,679,475,767,11,23,7,United States,"Pasadena, California"
0d5e8ae0368c47d5af2575719326193d,Helio Vigio,,,4,1,3,0,0,0,0,Brazil,
89fb2b636c884880817537aa99ad202a,Steve Perceval,,,253,94,64,90,3,1,1,,
f7a3028e5bfa4cee8d168bb42006b6e7,Mark Craig,,,21,7,2,12,0,0,0,,
df59ba1b5622408ea62b8fa3f2a67e17,Jason Herzog,,,939,298,225,392,6,12,6,,
52ad22c0d1f340e38a8e8d7807f29f3e,Marc Goddard,,,1023,347,233,424,10,7,2,,
795555081cc94c95b01c431a59ffc2c8,Mark Smith,,,732,247,137,332,4,6,6,,
cc622058efc742b5abed2328c37ddef0,Vitor Ribeiro,,,73,18,11,41,2,1,0,,
0b91457bb44347419b4b7ee72698a242,Keith Peterson,,No Nonsense,724,226,145,337,6,7,3,United States,
584211a57c39404ab9bd2712bb55d36b,Kevin Sataki,,,92,41,14,37,0,0,0,,
e70ef5404c954099b55a3f1a29cb8d91,Thomas Fan,,,95,24,33,33,4,1,0,,
dfdbc371fc6e4838b4f5272c5ca414e9,Daniel Movahedi,,,355,132,88,127,1,5,2,,
390c364590b34ef8a65e552c5e5f0128,Chris Tognoni,,,738,217,170,330,4,15,2,,
85a22c8a203749cba9867522f90cb264,Mike Beltran,1973-08-31,,533,195,128,196,8,6,0,United States,California
37a4ed6e08654b8a971a46d49a7c3e5a,Lukasz Bosacki,,,555,183,136,221,4,3,3,Poland,
c7edd7d74aed4cff956f4ff8315ec6dd,Kevin MacDonald,,,385,117,97,166,0,4,1,,
ff42e030d84f4480a1c34c4b974db62a,Jerin Valel,,,167,44,37,82,2,1,1,,
e191fb9a3dcf451ca4d7c5db9c4c25e4,Leon Roberts,,,341,117,63,157,2,1,1,,
bf0d06b323e64ba1a5e16454904f990d,Blake Grice,,,198,67,32,94,1,2,2,,
4901a916b136489083bf4d3840d53372,Yves Lavigne,,,307,89,79,138,1,0,0,,
d27a9148faab4151a817e55970f7c0af,Osiris Maia,,,172,58,40,68,5,1,0,Brazil,
15aa8fddca0647909aa8c08028fe0553,Mario Yamasaki,,,463,157,117,180,5,1,3,,
2f69fcdf0f2a47ca808e05408dd128b2,Todd Anderson,,,182,56,44,80,1,1,0,,
f48a8d157f354ca99f55692bc0e3c81c,Rob Madrigal,,,206,63,59,78,1,4,1,United States,
541e1193cb29427ea864a1c69d01a363,John Sharp,,,109,30,31,46,0,1,1,,
dd7d3bb57dc44189aff20c1f3e737850,Josh Rosenthal,,,504,173,152,165,3,6,4,,
b5e599c96361445f9c390da7ca8593c2,Troy Waugh,,,504,173,152,165,3,6,4,,
5f1566aabc974bbb927ae24deae36478,Kevin Mulhall,,,136,37,34,57,4,3,0,United States,
